"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 02 16:29:02 GMT 2024","Mon Dec 02 16:29:02 GMT 2024","36","tests","test_search","TestSearch","","","test_search_and_buy_tariff[chromium]",""
"broken","Mon Dec 02 16:29:01 GMT 2024","Mon Dec 02 16:29:01 GMT 2024","46","tests","test_search","TestSearch","","","test_search_smartphone_page[chromium-\u0441\u043c\u0430\u0440\u0442\u0444\u043e\u043d\u044b]",""
