"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 02 20:25:16 GMT 2024","Mon Dec 02 20:25:34 GMT 2024","18394","tests","test_search","TestSearch","","","test_search_and_buy_tariff[chromium]",""
"passed","Mon Dec 02 20:25:00 GMT 2024","Mon Dec 02 20:25:15 GMT 2024","14567","tests","test_search","TestSearch","","","test_search_smartphone_page[chromium-\u0441\u043c\u0430\u0440\u0442\u0444\u043e\u043d\u044b]",""
